,회사명,거래소코드,회계년도,누적수익성비율,TMD,abs(영업현금흐름-당기순이익)/매출액,순운전자본비율,금융비용부담률,WW지수,target_3,Z,proba,정리
3262,(주)앤씨앤,92600,2015,0.488845105,0.152970836,0.035419799,53.86,-0.98,-58.63951893,0,-7.842723461,0.039244428,0
3263,(주)앤씨앤,92600,2016,0.508242641,0.100230601,0.064552891,65.7,-1.33,-48.24423506,0,-6.180606175,0.206490056,0
3270,(주)야스,255440,2018,0.357222565,0.472414003,0.022568127,42.95,-0.53,-66.31739026,0,-8.657923441,0.017371454,0
3271,(주)야스,255440,2019,0.440933623,0.24697406,0.159234569,45.06,-1.98,-60.40095255,0,-7.657254106,0.04723801,0
3272,(주)야스,255440,2020,0.525125996,0.217181426,0.071183362,32.1,-1.28,-57.81056357,0,-7.285201529,0.068514031,0
3273,(주)야스,255440,2021,0.467750431,0.294241736,0.450888455,30.8,-1.15,-59.91777811,0,-6.549208651,0.142920222,0
3293,(주)에너토크,19990,2012,0.68760477,0.091896646,0.020108713,45.53,0.05,-54.58157031,0,-7.249087638,0.071031771,0
3294,(주)에너토크,19990,2013,0.705475763,0.128553314,0.078534031,50.5,-0.03,-51.52150277,0,-6.639214095,0.130634607,0
3295,(주)에너토크,19990,2014,0.694510092,0.175548071,0.045454545,49.63,-0.03,-52.85130606,0,-6.901936058,0.10048255,0
3296,(주)에너토크,19990,2015,0.723300456,0.113733343,0.236779685,48.45,-0.24,-53.69732301,0,-6.648790507,0.129391179,0
3297,(주)에너토크,19990,2016,0.670149985,0.049108937,0.051029819,56.07,-0.37,-50.35652805,0,-6.618356965,0.133384211,0
3298,(주)에너토크,19990,2017,0.673637903,0.026959396,0.091180317,53.73,-0.84,-48.3209032,0,-6.169570751,0.208776597,0
3299,(주)에너토크,19990,2018,0.679257847,0.057494595,0.089694656,46.43,-1.77,-54.19257147,0,-7.170037426,0.076870258,0
3300,(주)에너토크,19990,2019,0.688524973,0.082677524,0.074436827,40.4,-1.49,-54.45111468,0,-7.132655542,0.079795862,0
3301,(주)에너토크,19990,2020,0.640905831,0.131632988,0.084942253,38.13,-1.58,-52.57012128,0,-6.642492418,0.130207603,0
3302,(주)에너토크,19990,2021,0.59412784,0.065543382,0.068397271,38.04,-1.65,-53.23540964,0,-6.7866866,0.11274299,0
3304,(주)에스디생명공학,217480,2018,0.40136657,0.186013078,0.165734498,46.39,-0.15,-50.83662234,0,-5.789199111,0.305109459,0
3305,(주)에스디생명공학,217480,2019,0.304754618,0.369745902,0.168732681,32.27,-0.05,-51.84332852,0,-5.477517396,0.416229623,0
3308,(주)에스디시스템,121890,2012,0.506116394,0.511029412,0.035537285,65.45,-0.5,-47.49260081,0,-5.78183596,0.307357387,0
3310,(주)에스디시스템,121890,2014,0.431507486,0.973717312,0.04005249,55.87,-0.41,-53.72497907,0,-6.32780538,0.178276502,0
3311,(주)에스디시스템,121890,2015,0.487397747,0.405844156,0.009440075,59.06,-0.15,-54.58368799,0,-7.033693445,0.088089271,0
3326,(주)에스비에스콘텐츠허브,46140,2012,0.529488563,0.155384128,0.035526962,38.65,-1.49,-55.73951949,0,-7.170436541,0.076839608,0
3327,(주)에스비에스콘텐츠허브,46140,2013,0.555070808,0.154898827,0.037752592,46.69,-1.35,-59.13695359,0,-7.92836837,0.036024411,0
3328,(주)에스비에스콘텐츠허브,46140,2014,0.526007343,0.209355684,0.127980266,48.33,-1.55,-61.8406109,0,-8.153806811,0.028755558,0
3329,(주)에스비에스콘텐츠허브,46140,2015,0.52160203,0.208389591,0.065553302,50.52,-1.1,-58.90255162,0,-7.778416568,0.041849938,0
3330,(주)에스비에스콘텐츠허브,46140,2016,0.486266671,0.475849161,0.084133766,49.95,-0.69,-59.17125944,0,-7.517957383,0.054294612,0
3331,(주)에스비에스콘텐츠허브,46140,2017,0.514862111,0.319029416,0.037637966,50.23,-1.75,-52.55337659,0,-6.673375701,0.126252824,0
3332,(주)에스비에스콘텐츠허브,46140,2018,0.552410532,0.532010001,0.025944681,51.12,-3.56,-58.07369692,0,-7.761364926,0.04256936,0
3333,(주)에스비에스콘텐츠허브,46140,2019,0.589832572,0.361016789,0.201743723,59.81,-1,-53.12180722,0,-6.53328748,0.14521056,0
3334,(주)에스비에스콘텐츠허브,46140,2020,0.635814323,0.316314024,0.06269721,59.32,-0.3,-53.68828758,0,-7.014458944,0.089798488,0
3335,(주)에스비에스콘텐츠허브,46140,2021,0.633482576,0.291629285,0.101978919,55.84,-0.37,-59.94960398,0,-8.002184519,0.03346186,0
3336,(주)에스비엠,37630,2012,0.708138424,0.070218377,0.024099853,80.79,-2.64,-49.30028701,1,-7.106973224,0.081870048,"140억원 규모 특허권 패소, 기업사냥군+횡령"
3339,(주)에스씨디,42110,2014,0.182780952,0.183029052,0.033346106,41.97,-0.64,-51.72945077,0,-5.954108224,0.258843969,0
3340,(주)에스씨디,42110,2015,0.256073249,0.219145863,0.047488495,46.76,-0.55,-51.06704423,0,-5.945911811,0.260968721,0
3341,(주)에스씨디,42110,2016,0.298977256,0.249643529,0.03199887,49.13,-0.48,-52.74034671,0,-6.356649622,0.173216486,0
3342,(주)에스씨디,42110,2017,0.322386648,0.281594858,0.082669146,50.08,-0.37,-56.33197903,0,-6.891990042,0.101485918,0
3343,(주)에스씨디,42110,2018,0.350339583,0.49280321,0.034363247,52.96,-0.38,-57.05628227,0,-7.092008833,0.08310337,0
3344,(주)에스씨디,42110,2019,0.307551346,0.60310346,0.027059778,46.98,-0.36,-57.68199732,0,-6.995538161,0.091512151,0
3345,(주)에스씨디,42110,2020,0.293685992,0.647772192,0.042464447,45.63,-0.22,-59.38813084,0,-7.182860542,0.075891578,0
3346,(주)에스씨디,42110,2021,0.315671419,0.599532372,0.026512341,47.5,-0.19,-57.88945812,0,-7.042750796,0.087295711,0
3360,(주)에스앤더블류,103230,2015,0.572188817,0.486792575,0.059508435,27.43,0,-49.15637011,0,-5.476297199,0.416735697,0
3372,(주)에스앤에스텍,101490,2017,0.25826079,0.500862477,0.118555075,13.91,0.52,-56.8713858,0,-6.019525068,0.242492922,0
3373,(주)에스앤에스텍,101490,2018,0.281303256,0.593329246,0.126065294,10.62,0.91,-58.69484604,0,-6.216575636,0.199209244,0
3374,(주)에스앤에스텍,101490,2019,0.322662733,0.195168822,0.016136479,13.09,0.6,-59.00264195,0,-6.926007149,0.098095048,0
3375,(주)에스앤에스텍,101490,2020,0.288772037,0.023064114,0.04806922,41.96,0.05,-60.10733582,0,-7.615631846,0.049244666,0
3376,(주)에스앤에스텍,101490,2021,0.321420793,0.029153298,0.011584027,41.58,-0.46,-59.83175917,0,-7.731709793,0.043850103,0
3377,(주)에스에너지,95910,2012,0.218415941,0.848269419,0.047403943,30.06,0.34,-58.97889922,0,-6.571406314,0.139787065,0
3378,(주)에스에너지,95910,2013,0.237801152,0.850565454,0.029258219,23.43,0.62,-58.13881625,0,-6.362952735,0.17212999,0
3379,(주)에스에너지,95910,2014,0.206488253,1.867107875,0.012314658,18.54,0.41,-59.84467092,0,-5.949162205,0.260124049,0
3380,(주)에스에너지,95910,2015,0.172895775,2.136259619,0.041725097,17.19,0.68,-59.55547006,0,-5.560824262,0.383087328,0
3382,(주)에스에너지,95910,2017,0.150418178,2.0421939,0.031033513,15.53,1.45,-59.25041355,0,-5.477114595,0.416396616,0
3385,(주)에스에너지,95910,2020,0.007223662,1.607554678,0.096240188,23.82,1.04,-62.2345349,0,-6.100195558,0.223741191,0
3399,(주)에스에이엠티,31330,2016,0.177654672,0.637651852,0.023660082,32.4,0.36,-61.97342108,0,-7.285756729,0.068476029,0
3400,(주)에스에이엠티,31330,2017,0.241992633,0.47397249,0.009036125,37.44,0.22,-61.72827983,0,-7.563759162,0.051865173,0
3401,(주)에스에이엠티,31330,2018,0.280013933,0.650850288,0.034450241,35.12,0.2,-60.8277836,0,-7.239637813,0.071705707,0
3402,(주)에스에이엠티,31330,2019,0.401247379,0.216037992,0.006790879,43.99,0.18,-61.88387715,0,-8.089202201,0.030674033,0
3403,(주)에스에이엠티,31330,2020,0.415820136,0.378766618,0.024452259,41.39,0.09,-61.66164236,0,-7.884548107,0.037637501,0
3404,(주)에스에이엠티,31330,2021,0.335674393,0.560268358,0.055420399,46.85,0.15,-68.19264548,0,-8.835968773,0.01453866,0
3409,(주)에스에이티,60540,2016,0.190077865,0.478090009,0.013625683,23.82,-0.02,-53.15794935,0,-5.739721926,0.3205355,0
3410,(주)에스에이티,60540,2017,0.196980822,1.023033281,0.007214058,13.42,-0.27,-57.44365147,0,-6.034365844,0.238929247,0
3411,(주)에스에이티,60540,2018,0.240492143,0.908033393,0.025040876,10.92,0.31,-59.23882812,0,-6.360486809,0.17255424,0
3412,(주)에스에이티,60540,2019,0.27776053,0.798774053,0.034601336,14.74,0.46,-57.55639492,0,-6.205516222,0.201420147,0
3413,(주)에스에이티,60540,2020,0.316311721,0.561180059,0.005566559,10.13,0.4,-57.93592073,0,-6.483469977,0.152616488,0
3414,(주)에스에이티,60540,2021,0.299382757,0.69069253,0.000840001,9.96,0.39,-57.88227855,0,-6.376941379,0.169742947,0
3415,(주)에스에프씨,112240,2012,0.370054296,0.469956855,0.083257875,46.99,0.46,-56.61457279,0,-6.770457431,0.114585529,0
3416,(주)에스에프씨,112240,2013,0.435885328,0.285079638,0.079986747,54.35,0.14,-57.30531975,0,-7.254864639,0.070622892,0
3417,(주)에스에프씨,112240,2014,0.491056608,0.375417831,0.059650072,56.57,0.42,-55.69162618,0,-7.046920864,0.086932756,0
3418,(주)에스에프씨,112240,2015,0.549836625,0.139346671,0.192603916,63.89,0.28,-56.92047032,0,-7.294130455,0.067905411,0
3419,(주)에스에프씨,112240,2016,0.403111855,0.193309967,0.118080169,42.04,-0.01,-49.93583371,0,-5.664320808,0.345552005,0
3423,(주)에스에프에이,56190,2012,0.677988515,0.242473056,0.019783953,44.24,-1.97,-65.47234829,0,-9.230209384,0.00980231,0
3424,(주)에스에프에이,56190,2013,0.745680174,0.172177385,0.023536001,58.12,-1.85,-64.25826664,0,-9.354082415,0.008660361,0
3425,(주)에스에프에이,56190,2014,0.756113631,0.152218619,0.050600163,58.88,-1.91,-64.16672479,0,-9.313488976,0.009019116,0
3426,(주)에스에프에이,56190,2015,0.405656752,0.632505195,0.021809133,21.95,-1.16,-67.8407649,0,-8.606880676,0.018280994,0
3427,(주)에스에프에이,56190,2016,0.367098043,0.630049884,0.064320613,24.35,0.41,-72.21495738,0,-9.151801092,0.010601742,0
3428,(주)에스에프에이,56190,2017,0.403189955,0.593586132,0.090220451,32.7,0.24,-67.73759419,0,-8.502645856,0.020288956,0
3429,(주)에스에프에이,56190,2018,0.496020552,0.529234701,0.084280362,33.35,0.02,-69.01992348,0,-8.943190127,0.013060661,0
3430,(주)에스에프에이,56190,2019,0.504490541,0.417780764,0.088274031,23.98,0.09,-70.44324859,0,-9.11639159,0.010983828,0
3431,(주)에스에프에이,56190,2020,0.546367225,0.375079865,0.139526203,40.52,0.21,-69.94325575,0,-9.23872419,0.009719207,0
3432,(주)에스에프에이,56190,2021,0.560223876,0.38940579,0.058810035,39.33,-0.15,-68.87950543,0,-9.269096054,0.009428482,0
3441,(주)에스에프에이반도체,36540,2020,-0.197642125,0.244189295,0.114692939,18.68,1.2,-59.2477657,0,-6.026063852,0.240916293,0
3442,(주)에스에프에이반도체,36540,2021,-0.096646879,0.176751046,0.072460377,23.78,0.65,-59.37256106,0,-6.460179402,0.156207112,0
3455,(주)에스엠라이프디자인그룹,63440,2018,-0.40505296,0.09259021,0.235584843,59.38,-1.02,-54.38323693,0,-5.489740387,0.411193811,0
3458,(주)에스엠라이프디자인그룹,63440,2021,-0.447449447,0.084879415,0.048966677,58.49,-0.34,-53.26224381,0,-5.638592748,0.354525813,0
3459,(주)에스엠엔터테인먼트,41510,2012,0.240577493,0.095942873,0.044441958,35.12,-0.55,-55.31117673,0,-6.587273246,0.137589605,0
3460,(주)에스엠엔터테인먼트,41510,2013,0.255360311,0.137995452,0.025902493,33.59,-0.39,-56.06294778,0,-6.724873017,0.119923315,0
3461,(주)에스엠엔터테인먼트,41510,2014,0.283520389,0.144012961,0.038082793,29.18,-0.37,-56.59060467,0,-6.750972183,0.116837517,0
3462,(주)에스엠엔터테인먼트,41510,2015,0.282506977,0.152130108,0.146472918,27.95,0.08,-57.51758947,0,-6.583512593,0.13810729,0
3463,(주)에스엠엔터테인먼트,41510,2016,0.249629106,0.26538335,0.048375111,30.23,0.22,-55.38120562,0,-6.354586128,0.173573665,0
3464,(주)에스엠엔터테인먼트,41510,2017,0.168206252,0.479358446,0.22491769,13.85,0.02,-60.17072331,0,-6.27336607,0.188232011,0
3465,(주)에스엠엔터테인먼트,41510,2018,0.173816977,0.354103074,0.157758478,14.28,0,-62.64565566,0,-6.983910497,0.092581443,0
3466,(주)에스엠엔터테인먼트,41510,2019,0.147476607,0.535587446,0.164374774,17.19,-0.01,-63.18804683,0,-6.958919922,0.094922035,0
3467,(주)에스엠엔터테인먼트,41510,2020,0.089203301,0.648883869,0.216839462,19.9,0.27,-61.40362195,0,-6.375826614,0.169931954,0
3468,(주)에스엠엔터테인먼트,41510,2021,0.179328062,0.298817355,0.015204622,28.04,0.15,-67.42319409,0,-8.453292005,0.021315197,0
3470,(주)에스엠컬처앤콘텐츠,48550,2013,-0.167520048,0.167778096,0.035284516,32.34,-0.35,-54.45384134,0,-5.794693231,0.303442821,0
3479,(주)에스엠코어,7820,2012,0.44264663,0.393267326,0.006128938,38.88,-0.27,-57.56256925,0,-7.209200175,0.073920176,0
3480,(주)에스엠코어,7820,2013,0.454636364,0.415709465,0.047877169,35.58,-0.28,-54.38465316,0,-6.483044323,0.152681364,0
3481,(주)에스엠코어,7820,2014,0.511739345,0.307147392,0.06253874,40.29,-0.1,-56.10504578,0,-6.964762703,0.094369565,0
3482,(주)에스엠코어,7820,2015,0.493691128,0.262787753,0.291890638,43,-0.04,-57.43547526,0,-6.669554824,0.126735531,0
3484,(주)에스엠코어,7820,2017,0.258106826,0.068,0.081226265,56.64,-0.28,-52.5134554,0,-6.359201048,0.172775863,0
3485,(주)에스엠코어,7820,2018,0.246087533,0.172628476,0.057619684,47.87,-0.3,-58.21581328,0,-7.219104899,0.073192165,0
3486,(주)에스엠코어,7820,2019,0.270456035,0.128318569,0.074598081,48.04,-0.04,-58.8001935,0,-7.325781845,0.065791161,0
3487,(주)에스엠코어,7820,2020,0.216846978,0.157608175,0.185599216,55.02,0.27,-56.58915207,0,-6.645774217,0.129781542,0
3488,(주)에스엠코어,7820,2021,0.206580861,0.168574638,0.211477514,53.57,0.4,-52.81684569,0,-5.848894571,0.287479616,0
3489,(주)에스제이그룹,306040,2020,0.293625087,0.27431106,0.016908325,50.92,-0.21,-58.7632168,0,-7.46076775,0.05748837,0
3490,(주)에스제이그룹,306040,2021,0.366761981,0.262825689,0.036512145,45.5,-0.03,-57.72409235,0,-7.230770642,0.072343899,0
3513,(주)에스코넥,96630,2016,0.226165845,0.631858204,0.061556396,11.25,0.43,-55.01177439,0,-5.664838722,0.345373703,0
3515,(주)에스코넥,96630,2018,0.388486121,0.706184369,0.012671126,17.5,0.38,-53.83581178,0,-5.853677148,0.28611193,0
3519,(주)에스텍파마,41910,2012,0.365026039,0.242732982,0.077993859,23.83,1.8,-55.97065079,0,-6.33266217,0.177414282,0
3520,(주)에스텍파마,41910,2013,0.393887132,0.376144135,0.153620375,27.72,3.61,-56.49146969,0,-6.111526341,0.221225914,0
3521,(주)에스텍파마,41910,2014,0.426755707,0.514067425,0.080176411,24.08,2.16,-55.99178291,0,-6.215568573,0.199409561,0
3522,(주)에스텍파마,41910,2015,0.460597172,0.07322012,0.251453424,27.06,1.81,-55.0765105,0,-6.02640545,0.240834209,0
3523,(주)에스텍파마,41910,2016,0.468642598,0.164636272,0.09307095,33.94,0.59,-55.84039836,0,-6.71868998,0.120666205,0
3524,(주)에스텍파마,41910,2017,0.481512839,0.090401603,0.147014183,36.46,0.33,-56.7060616,0,-6.864491179,0.104312439,0
3525,(주)에스텍파마,41910,2018,0.556571254,0.092756462,0.016362555,41.22,-0.44,-57.01468237,0,-7.485207757,0.056101163,0
3526,(주)에스텍파마,41910,2019,0.590770103,0.110224766,0.235276404,46.82,-1.08,-57.18411547,0,-7.139346987,0.079264116,0
3527,(주)에스텍파마,41910,2020,0.636984466,0.078099552,0.101885069,48.85,-0.68,-56.14146249,0,-7.373185142,0.062747118,0
3528,(주)에스텍파마,41910,2021,0.661702429,0.096845369,0.10383934,55.91,-0.53,-56.68242397,0,-7.588750208,0.050585717,0
3531,(주)에스티아이,39440,2014,0.16297792,0.536385386,0.086328857,15.78,-0.17,-57.7773597,0,-6.194043134,0.20373963,0
3532,(주)에스티아이,39440,2015,0.206772462,0.565719395,0.027550711,23.11,0.05,-57.63799411,0,-6.458310955,0.156498793,0
3533,(주)에스티아이,39440,2016,0.24583873,0.53363159,0.052587813,23.77,0.04,-57.8940615,0,-6.52656194,0.146189038,0
3534,(주)에스티아이,39440,2017,0.359166176,0.211631934,0.081295969,30.81,-0.04,-56.10039524,0,-6.614047039,0.133959556,0
3535,(주)에스티아이,39440,2018,0.290571991,0.704448466,0.182544224,40.82,-0.24,-60.28852062,0,-6.875369953,0.103184962,0
3536,(주)에스티아이,39440,2019,0.345978379,0.30001104,0.166375001,29.57,0.16,-64.93591096,0,-7.875963284,0.03796188,0
3537,(주)에스티아이,39440,2020,0.405016994,0.248028954,0.063318234,26.72,0.12,-60.1505922,0,-7.347285318,0.064392426,0
3538,(주)에스티아이,39440,2021,0.357136708,0.422210038,0.259481588,27.91,0.05,-60.10013249,0,-6.691267775,0.124016764,0
3542,(주)에스티오,98660,2015,0.341802783,1.215713558,0.044462888,17.12,1.41,-57.12463104,0,-5.885366659,0.277212077,0
3544,(주)에스티오,98660,2017,0.406179352,1.543418074,0.047215403,24.3,0.98,-55.38093529,0,-5.589425236,0.372326076,0
3546,(주)에스티오,98660,2019,0.440038727,1.115288446,0.075660058,20.63,1.25,-54.08319531,0,-5.528090898,0.395784105,0
3563,(주)에스폴리텍,50760,2016,0.226904667,1.19589719,0.042847311,1.57,0.81,-57.48771058,0,-5.607644299,0.365628642,0
3566,(주)에스폴리텍,50760,2019,0.290239178,0.592445929,0.093473447,13.98,0.63,-58.3269365,0,-6.320867976,0.179515351,0
3567,(주)에스폴리텍,50760,2020,0.313057603,0.653302028,0.029650333,16,0.54,-57.68926664,0,-6.398044668,0.166204236,0
3568,(주)에스폴리텍,50760,2021,0.400748207,0.65946684,0.136401735,21.04,0.63,-58.0993135,0,-6.392349646,0.167151887,0
3571,(주)에스피지,58610,2012,0.330185602,1.302238038,0.047924525,20.5,1.27,-56.90626072,0,-5.830775603,0.292720539,0
3572,(주)에스피지,58610,2013,0.319750877,1.113657362,0.030340247,17.84,1.36,-56.92289154,0,-5.936156404,0.263520293,0
3573,(주)에스피지,58610,2014,0.287688009,0.85746714,0.107179605,20.58,1.1,-57.83333668,0,-6.092538635,0.225457059,0
3574,(주)에스피지,58610,2015,0.280068685,0.906451554,0.008133537,22.32,0.98,-57.49459018,0,-6.276128354,0.187713753,0
3575,(주)에스피지,58610,2016,0.237564549,1.242226356,0.021100399,22.77,0.83,-61.82575041,0,-6.764931171,0.11521978,0
3576,(주)에스피지,58610,2017,0.212566184,1.041283068,0.039763179,19.1,0.8,-62.39833062,0,-6.860150996,0.104765683,0
3577,(주)에스피지,58610,2018,0.211336179,1.104404033,0.003791587,17.75,0.84,-60.26696207,0,-6.500665209,0.150018549,0
3578,(주)에스피지,58610,2019,0.228614741,0.977680768,0.004591304,23.4,0.94,-60.42484296,0,-6.715566297,0.12104326,0
3579,(주)에스피지,58610,2020,0.265036929,0.82773033,0.001922031,23.07,0.64,-61.91485593,0,-7.154266874,0.0780912,0
3580,(주)에스피지,58610,2021,0.264616219,0.654485833,0.092586721,28.61,0.49,-61.27361074,0,-7.023096452,0.08902688,0
3601,(주)에이디테크놀로지,200710,2015,0.449314349,0.141885573,0.02313043,70.72,-1.63,-52.13766995,0,-6.980676469,0.09288106,0
3603,(주)에이디테크놀로지,200710,2017,0.319161079,0.117454486,0.08489365,53.08,-0.24,-48.35945471,0,-5.594827848,0.370327396,0
3604,(주)에이디테크놀로지,200710,2018,0.322050882,0.309003596,0.15306761,47.11,-0.32,-62.91752417,0,-7.827562762,0.039843695,0
3605,(주)에이디테크놀로지,200710,2019,0.289028885,0.31515521,0.043727027,51.5,0.2,-55.20847536,0,-6.699962355,0.122944485,0
3606,(주)에이디테크놀로지,200710,2020,0.157333103,0.177741104,0.031789574,37.08,0.35,-61.93152158,0,-7.60370521,0.049835211,0
3607,(주)에이디테크놀로지,200710,2021,0.208259678,0.217519776,0.041942475,41.08,0.1,-59.95173317,0,-7.349768939,0.064232801,0
3608,(주)에이루트,96690,2012,0.549477115,0.20496614,0.009949141,42.84,-1.59,-51.33317538,0,-6.513747353,0.148071653,0
3609,(주)에이루트,96690,2013,0.57980887,0.189518717,0.014552286,46.85,-1,-53.23047637,0,-6.912968687,0.099381151,0
3610,(주)에이루트,96690,2014,0.637341538,0.084806867,0.026742972,53.9,-1.77,-54.14597166,0,-7.365429975,0.063235316,0
3611,(주)에이루트,96690,2015,0.624216231,0.038701923,0.006135806,52.67,-1.77,-47.80537886,0,-6.270982425,0.188680376,0
3623,(주)에이스침대,3800,2012,0.820512574,0.183416673,0.032862324,21.11,-2.66,-63.12435768,0,-8.689392295,0.016833397,0
3624,(주)에이스침대,3800,2013,0.853547096,0.111861628,0.024219584,40.07,-2.47,-63.12144989,0,-9.091831647,0.0112569,0
3625,(주)에이스침대,3800,2014,0.860315194,0.093811108,0.015650294,25.24,-2.14,-62.74458642,0,-8.802840704,0.015028291,0
3626,(주)에이스침대,3800,2015,0.856818099,0.097303877,0.050121152,18.93,-1.86,-63.39450765,0,-8.70276673,0.016609796,0
3627,(주)에이스침대,3800,2016,0.870001631,0.095788556,0.000937879,16.32,-1.21,-63.50759886,0,-8.773624663,0.015473766,0
3628,(주)에이스침대,3800,2017,0.874900797,0.07658336,0.008297628,10.8,-1.37,-63.49517538,0,-8.695624205,0.016728836,0
3629,(주)에이스침대,3800,2018,0.833655065,0.175279184,0.053812593,9.34,-1.47,-64.31405312,0,-8.59242069,0.018547208,0
3630,(주)에이스침대,3800,2019,0.836288311,0.132016497,0.007133254,8.17,-1.45,-63.71333803,0,-8.613257217,0.018164817,0
3631,(주)에이스침대,3800,2020,0.825787487,0.163326068,0.028483691,8.82,-1.82,-64.81947119,0,-8.762620366,0.015644957,0
3632,(주)에이스침대,3800,2021,0.826708312,0.167442182,0.018843739,9.81,-1.23,-64.51528331,0,-8.701194536,0.016635926,0
3646,(주)에이치디,102210,2012,0.479597255,0.812694861,0.089703368,38.6,-3.84,-50.91936535,0,-5.856061839,0.285432399,0
3647,(주)에이치디,102210,2013,0.391873587,1.111901656,0.182255531,39.44,-4.65,-59.26970934,0,-6.885664725,0.102129225,0
3648,(주)에이치디,102210,2014,0.361123923,1.62406313,0.043733136,19.32,-3.75,-60.69774022,0,-6.724653334,0.119949631,0
3649,(주)에이치디,102210,2015,0.340943143,1.746477735,0.051758046,21.28,-0.3,-61.47696643,0,-6.502792737,0.149700197,0
3650,(주)에이치디,102210,2016,0.360918349,1.953660492,0.283974619,22.24,-0.46,-60.29474806,0,-5.627021837,0.358637028,0
3651,(주)에이치디,102210,2017,0.364539102,1.99515406,0.17819953,22.14,-1.54,-59.90610851,0,-5.883290071,0.27778673,0
3656,(주)에이치비테크놀러지,78150,2013,-0.163296792,0.45196736,0.038213382,6.56,0.75,-62.94718606,0,-6.635069248,0.13117648,0
3659,(주)에이치비테크놀러지,78150,2016,0.082140046,0.194057279,0.079555286,25.62,0,-62.57203639,0,-7.328568297,0.065608212,0
3660,(주)에이치비테크놀러지,78150,2017,0.260533967,0.155821161,0.042356183,42.41,-0.26,-57.20388967,0,-7.015518976,0.089703434,0
3661,(주)에이치비테크놀러지,78150,2018,0.22517528,0.283241869,0.056313912,32.36,-0.03,-60.84501784,0,-7.324408505,0.065881517,0
3662,(주)에이치비테크놀러지,78150,2019,0.200020272,0.426120406,0.013365839,31.86,0.41,-62.614519,0,-7.581540251,0.05095157,0
3663,(주)에이치비테크놀러지,78150,2020,0.213743577,0.444656363,0.056259298,33.28,0.32,-60.74061695,0,-7.173556783,0.076600407,0
3664,(주)에이치비테크놀러지,78150,2021,0.251830051,0.465062029,0.178902518,23.55,0.11,-58.11287785,0,-6.291558788,0.184844793,0
3666,(주)에이치시티,72990,2018,0.340929911,0.629374044,0.084710404,8.61,0.71,-56.21687303,0,-5.916625001,0.268703841,0
3667,(주)에이치시티,72990,2019,0.386395261,0.374240263,0.110520655,7.32,0.52,-56.99867079,0,-6.2129315,0.19993506,0
3668,(주)에이치시티,72990,2020,0.459504836,0.257598934,0.111375473,5.76,0.52,-58.56801163,0,-6.642425106,0.130216356,0
3669,(주)에이치시티,72990,2021,0.398608499,0.446432411,0.0593953,6.28,0.49,-58.17545772,0,-6.508398084,0.148864668,0
3670,(주)에이치알에스,36640,2012,0.616623044,0.217711447,0.030326823,40.1,-0.13,-55.53846026,0,-7.14388425,0.078905572,0
3671,(주)에이치알에스,36640,2013,0.57721053,0.358007945,0.080223848,34.1,-0.18,-55.46438867,0,-6.768078926,0.114858082,0
3672,(주)에이치알에스,36640,2014,0.592770096,0.325688024,0.038275844,34.17,-0.15,-56.33445804,0,-7.070757778,0.084886788,0
3673,(주)에이치알에스,36640,2015,0.600347543,0.264796774,0.036800777,24.83,-0.15,-56.88588516,0,-7.073117841,0.084686855,0
3674,(주)에이치알에스,36640,2016,0.573989004,0.346821805,0.022499159,47.81,-0.11,-55.42777834,0,-7.124513501,0.08044769,0
3675,(주)에이치알에스,36640,2017,0.597634801,0.324982481,0.049069699,49.97,0.37,-56.92536579,0,-7.37049121,0.062916276,0
3676,(주)에이치알에스,36640,2018,0.507146781,0.695444248,0.13189847,34.16,0.64,-54.61663307,0,-6.109808854,0.22160535,0
3677,(주)에이치알에스,36640,2019,0.603896536,0.386293749,0.283678058,37.79,0.79,-51.30800769,0,-5.512139181,0.402122573,0
3678,(주)에이치알에스,36640,2020,0.68844374,0.11748099,0.012120763,26.58,0.1,-56.1654055,0,-7.229820725,0.072412602,0
3679,(주)에이치알에스,36640,2021,0.67473822,0.179626736,0.264783907,38.68,-0.11,-56.94820325,0,-6.886333887,0.102060977,0
3683,(주)에이치엘사이언스,239610,2017,0.417011622,0.02699132,0.022265343,62.53,-1.18,-54.34482996,0,-7.243235269,0.071448396,0
3684,(주)에이치엘사이언스,239610,2018,0.47513023,0.038005369,0.033646347,65.09,-1.27,-58.15449944,0,-8.018671386,0.032914881,0
3685,(주)에이치엘사이언스,239610,2019,0.552328906,0.046971742,0.012770834,60.92,-0.67,-61.44919342,0,-8.648668455,0.017532945,0
3686,(주)에이치엘사이언스,239610,2020,0.651687387,0.048542103,0.032663106,64.12,-0.58,-57.9115886,0,-8.141989764,0.02909728,0
3687,(주)에이치엘사이언스,239610,2021,0.68878802,0.05430172,0.028502994,52.4,-0.64,-56.08144679,0,-7.686889421,0.045859269,0
3688,(주)에이치케이,44780,2012,0.321677268,0.785167065,0.048375566,34.96,0.83,-56.39024862,0,-6.326320876,0.178540878,0
3697,(주)에이치케이,44780,2021,0.421149961,0.819835337,0.010420294,29.01,0.5,-56.80518442,0,-6.53908789,0.144371929,0
3698,(주)에이텍,45660,2012,0.479193648,0.424819126,0.059684675,17.12,-0.06,-54.48794923,0,-6.185781868,0.205426277,0
3699,(주)에이텍,45660,2013,0.478217269,0.526237283,0.014713372,18.84,-0.07,-56.96412274,0,-6.705032231,0.122323509,0
