848,시간,회사명,종목코드,공시제목,제출인
260,2020-01-22 18:02,엠젠솔루션,032790,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
259,2020-01-17 17:23,한국제5호스팩,271740,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
258,2020-01-15 17:47,엠젠솔루션,032790,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
257,2020-01-10 17:46,에스제이케이,080440,관리종목지정사유추가(파산신청),코스닥시장본부
256,2020-01-03 18:02,다이나믹디자인,145210,관리종목지정사유변경,유가증권시장본부
255,2020-01-02 17:53,라이트론,069540,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
254,2020-01-02 17:21,한화수성스팩,265920,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
253,2019-12-26 17:21,셀루메드,049180,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
252,2019-12-24 15:58,이엠앤아이,083470,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
251,2019-12-18 17:53,미래에셋대우스팩1호,265480,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
250,2019-12-13 17:02,리드,197210,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
249,2019-12-12 18:21,이스트아시아홀딩스,900110,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
248,2019-12-10 18:27,컨버즈,109070,관리종목지정사유변경,유가증권시장본부
247,2019-12-05 15:57,디에스티,033430,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소 )",코스닥시장본부
246,2019-11-29 16:47,한화수성스팩,265920,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
245,2019-11-28 17:29,하이소닉,106080,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
244,2019-11-27 17:37,컨버즈,109070,관리종목지정사유변경,유가증권시장본부
243,2019-11-25 17:56,한화에이스스팩3호,264290,관리종목지정사유추가(상장폐지 사유발생),코스닥시장본부
242,2019-11-18 17:58,미래에셋대우스팩1호,265480,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
241,2019-11-14 20:19,스포츠서울,039670,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
240,2019-11-14 19:04,파인넥스,123260,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
239,2019-11-14 17:04,비츠로시스,054220,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
238,2019-11-11 18:06,씨씨에스,066790,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
237,2019-11-11 17:36,아이톡시,052770,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
236,2019-11-08 17:51,CNT85,056730,"관리종목지정사유추가및일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
235,2019-11-06 17:18,골드앤에스,035290,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
234,2019-11-04 18:21,레드로버,060300,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
233,2019-10-31 18:55,이스트아시아홀딩스,900110,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
232,2019-10-30 18:22,셀바스AI,108860,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
231,2019-10-28 18:44,행남사,008800,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
230,2019-10-28 18:41,에이치디,102210,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
229,2019-10-25 17:57,럭슬,033600,관리종목지정사유일부해제(파산 신청 사유 해소 ),코스닥시장본부
228,2019-10-24 17:33,한화에이스스팩3호,264290,관리종목지정( SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
227,2019-10-24 17:33,럭슬,033600,관리종목지정사유추가(파산신청),코스닥시장본부
226,2019-10-21 19:28,경남제약,053950,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
225,2019-10-21 18:29,이스트아시아홀딩스,900110,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
224,2019-10-18 17:58,이매진아시아,036260,"관리종목지정사유추가및일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
223,2019-10-11 19:46,이매진아시아,036260,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
222,2019-10-01 17:51,아센디오,012170,관리종목지정,유가증권시장본부
221,2019-10-01 16:45,경남제약,053950,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
220,2019-09-25 17:55,대신밸런스제4호스팩,262830,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
219,2019-09-23 16:51,초록뱀이앤엠,131100,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소),코스닥시장본부
218,2019-09-18 17:38,신한제3호스팩,257730,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
217,2019-09-16 19:04,셀바스AI,108860,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
216,2019-09-10 19:19,녹원씨엔아이,065560,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
215,2019-09-06 17:30,테크엘,064520,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
214,2019-08-29 19:21,한국정밀기계,101680,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
213,2019-08-29 19:14,세토피아,222810,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 등 )",코스닥시장본부
212,2019-08-29 19:13,제이테크놀로지,035480,관리종목지정(상장폐지사유 발생),코스닥시장본부
211,2019-08-29 18:17,경남제약,053950,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
210,2019-08-29 18:13,이스트아시아홀딩스,900110,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
209,2019-08-29 18:13,코오롱티슈진,950160,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
208,2019-08-29 17:06,차이나그레이트,900040,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
207,2019-08-29 17:06,DXVX,180400,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
206,2019-08-27 19:04,수성샐바시온,084180,관리종목지정사유일부해제(상장유지 결정),코스닥시장본부
205,2019-08-27 19:03,영신금속,007530,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
204,2019-08-26 18:08,CNT85,056730,관리종목지정사유추가(반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출),코스닥시장본부
203,2019-08-26 18:07,이매진아시아,036260,관리종목지정사유추가(반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출),코스닥시장본부
202,2019-08-23 18:08,영신금속,007530,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
201,2019-08-23 17:57,셀바스AI,108860,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
200,2019-08-23 17:32,대신밸런스제4호스팩,262830,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
199,2019-08-23 17:11,피앤텔,054340,"관리종목지정사유추가및일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
198,2019-08-22 17:53,레드로버,060300,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
197,2019-08-22 17:26,퓨전,195440,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 등),코스닥시장본부
196,2019-08-21 18:25,에스마크,030270,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
195,2019-08-21 10:49,파인넥스,123260,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
194,2019-08-19 18:18,파인넥스,123260,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
193,2019-08-19 17:27,SK3호스팩,232330,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
192,2019-08-16 19:16,넥슨게임즈,225570,관리종목지정(자본잠식률 50% 이상),코스닥시장본부
191,2019-08-16 17:22,신한제3호스팩,257730,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
190,2019-08-14 20:35,에스엠벡셀,010580,관리종목지정(반기검토의견 의견거절),유가증권시장본부
189,2019-08-14 20:34,핸디소프트,220180,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
188,2019-08-14 20:33,오파스넷,173130,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
187,2019-08-14 20:32,케어젠,214370,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
186,2019-08-14 20:32,코오롱생명과학,102940,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
185,2019-08-14 20:22,퓨전,195440,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
184,2019-08-14 20:22,코렌텍,104540,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
183,2019-08-14 20:20,하이소닉,106080,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
182,2019-08-14 20:08,행남사,008800,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
181,2019-08-14 20:07,아이톡시,052770,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
180,2019-08-14 19:58,KD,044180,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
179,2019-08-14 19:58,미래SCI,028040,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
178,2019-08-14 19:58,에이아이비트,039230,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
177,2019-08-14 19:58,중앙디앤엠,051980,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
176,2019-08-14 19:57,바이오빌,065940,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
175,2019-08-14 19:56,에스에프씨,112240,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
174,2019-08-14 19:55,지유온,111820,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
173,2019-08-14 19:55,이엘케이,094190,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
172,2019-08-14 19:54,케스피온,079190,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
171,2019-08-14 19:54,CNT85,056730,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
170,2019-08-14 19:54,화진,134780,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
169,2019-08-14 19:53,코다코,046070,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
168,2019-08-14 19:53,피앤텔,054340,관리종목지정사유추가( 반기보고서 미제출 ),코스닥시장본부
167,2019-08-14 19:52,에스마크,030270,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
166,2019-08-14 19:52,코드네이처,078940,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 ),코스닥시장본부
165,2019-08-14 19:51,디에스티,033430,"관리종목지정(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
164,2019-08-14 19:49,이매진아시아,036260,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
163,2019-08-14 19:47,이엠앤아이,083470,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
162,2019-08-14 19:44,셀바스AI,108860,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
161,2019-08-14 19:31,파인넥스,123260,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
160,2019-08-14 19:31,테라셈,182690,관리종목지정사유추가(자본잠식률 50% 이상),코스닥시장본부
159,2019-08-14 19:30,테크엘,064520,관리종목지정사유추가(상장폐지사유 발생 등),코스닥시장본부
158,2019-08-14 18:49,세원물산,024830,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
157,2019-08-14 18:48,크로바하이텍,043590,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
156,2019-08-14 18:48,협진,138360,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
155,2019-08-14 18:46,컨버즈,109070,관리종목지정사유변경,유가증권시장본부
154,2019-08-14 18:32,영신금속,007530,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
153,2019-08-14 18:32,아이엠텍,226350,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
152,2019-08-14 18:32,다이나믹디자인,145210,관리종목지정사유변경,유가증권시장본부
151,2019-08-14 18:11,라이트론,069540,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
150,2019-08-14 18:01,신한,005450,관리종목지정사유변경,유가증권시장본부
149,2019-08-14 18:01,폴루스바이오팜,007630,관리종목지정사유변경,유가증권시장본부
148,2019-08-14 18:01,웅진에너지,103130,관리종목지정사유변경,유가증권시장본부
147,2019-08-14 16:45,셀바스헬스케어,208370,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
146,2019-08-13 17:47,에스에이치엔엘,050320,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
145,2019-08-13 17:38,썬텍,122800,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
144,2019-07-22 17:51,SK3호스팩,232330,[정정]관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
143,2019-07-19 17:35,레드로버,060300,관리종목지정(파산신청),코스닥시장본부
142,2019-07-18 20:17,SK3호스팩,232330,관리종목지정(SPAC 상장예비심사청구서 미제출 등)[정],코스닥시장본부
141,2019-07-15 18:03,화진,134780,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
140,2019-07-08 17:02,이매진아시아,036260,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
139,2019-07-05 18:03,코오롱티슈진,950160,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
138,2019-07-03 18:23,에이트원,230980,관리종목 해제(상장폐지 사유 해소),코스닥시장본부
137,2019-07-01 19:14,비츠로시스,054220,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
136,2019-07-01 16:13,에스에이치엔엘,050320,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생(2017사업연도)),코스닥시장본부
135,2019-06-27 14:26,인트로메딕,150840,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
134,2019-06-25 18:23,인트로메딕,150840,관리종목지정(파산신청),코스닥시장본부
133,2019-06-21 18:29,스포츠서울,039670,관리종목지정(상장폐지사유 발생),코스닥시장본부
132,2019-05-28 18:16,어반리튬,073570,관리종목 해제(상장유지 결정),코스닥시장본부
131,2019-05-24 17:41,대동기어,008830,관리종목 해제(주식분산기준미달 사유 해소 ),코스닥시장본부
130,2019-05-24 16:19,웅진에너지,103130,관리종목지정사유변경,유가증권시장본부
129,2019-05-22 18:05,에스제이케이,080440,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
128,2019-05-17 18:18,MIT,038340,관리종목 해제(상장폐지 사유 해소 ),코스닥시장본부
127,2019-05-16 18:07,이베스트투자증권,078020,관리종목 해제(주식분산기준미달 사유 해소),코스닥시장본부
126,2019-05-15 19:12,썬텍,122800,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
125,2019-05-13 18:07,에스제이케이,080440,관리종목지정사유추가(파산신청),코스닥시장본부
124,2019-05-10 18:56,컨버즈,109070,관리종목지정,유가증권시장본부
123,2019-05-10 18:55,다이나믹디자인,145210,관리종목지정,유가증권시장본부
122,2019-05-10 18:53,웅진에너지,103130,관리종목지정,유가증권시장본부
121,2019-05-10 16:47,이스트아시아홀딩스,900110,관리종목지정사유일부해제(사업보고서 미제출 사유 해소 ),코스닥시장본부
120,2019-05-09 19:03,엠피대산,065150,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
119,2019-05-09 18:09,이스트아시아홀딩스,900110,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
118,2019-05-03 18:58,한국가구,004590,관리종목 해제(주식분산기준미달 사유 해소 ),코스닥시장본부
117,2019-05-03 18:39,에스아이리소스,065420,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
116,2019-04-30 18:21,이스트아시아홀딩스,900110,관리종목지정(사업보고서 미제출),코스닥시장본부
115,2019-04-29 18:03,지유온,111820,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
114,2019-04-23 17:44,비츠로시스,054220,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
113,2019-04-18 18:45,차이나그레이트,900040,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
112,2019-04-17 18:46,신한,005450,관리종목지정,유가증권시장본부
111,2019-04-16 18:29,노블엠앤비,106520,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
110,2019-04-16 18:16,이베스트투자증권,078020,관리종목지정(주식분산기준미달),코스닥시장본부
109,2019-04-16 18:07,한국가구,004590,관리종목지정(주식분산기준미달 ),코스닥시장본부
108,2019-04-16 18:07,대동기어,008830,관리종목지정(주식분산기준미달 ),코스닥시장본부
107,2019-04-12 18:00,비츠로시스,054220,관리종목지정(회생절차 개시신청),코스닥시장본부
106,2019-04-11 18:59,스킨앤스킨,159910,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소 등),코스닥시장본부
105,2019-04-11 18:18,엘앤케이바이오,156100,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
104,2019-04-10 18:30,라이트론,069540,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
103,2019-04-09 18:26,어반리튬,073570,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
102,2019-04-08 19:42,이엠앤아이,083470,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
101,2019-04-08 19:29,엠피대산,065150,관리종목지정사유추가및일부해제(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
100,2019-04-08 18:43,아이톡시,052770,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
99,2019-04-03 18:19,예선테크,250930,관리종목 해제(SPAC 상장예비심사청구서 미제출 등 사유 해소),코스닥시장본부
98,2019-04-02 14:25,이엘케이,094190,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
97,2019-04-01 19:47,스킨앤스킨,159910,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
96,2019-04-01 18:07,퓨전,195440,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
95,2019-03-29 16:12,에스에프씨,112240,관리종목지정(상장폐지사유 발생),코스닥시장본부
94,2019-03-28 19:49,셀바스AI,108860,관리종목지정(상장폐지사유 발생),코스닥시장본부
93,2019-03-28 19:43,경남제약,053950,관리종목지정(상장폐지사유 발생),코스닥시장본부
92,2019-03-28 19:11,CSA 코스믹,083660,관리종목지정(상장적격성 실질심사 대상 결정 ),코스닥시장본부
91,2019-03-28 18:57,아이톡시,052770,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
90,2019-03-28 13:59,코렌텍,104540,관리종목지정(상장폐지사유 발생),코스닥시장본부
89,2019-03-27 20:01,이엘케이,094190,관리종목지정(상장폐지사유 발생),코스닥시장본부
88,2019-03-27 18:54,파인넥스,123260,관리종목지정(상장폐지사유 발생),코스닥시장본부
87,2019-03-27 18:01,코너스톤네트웍스,033110,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소 ),코스닥시장본부
86,2019-03-27 13:28,피앤텔,054340,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
85,2019-03-26 19:07,디젠스,113810,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
84,2019-03-26 18:26,KG스틸,016380,관리종목지정,유가증권시장본부
83,2019-03-26 18:21,테크엘,064520,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
82,2019-03-26 18:07,씨엔플러스,115530,관리종목지정사유일부해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소 ),코스닥시장본부
81,2019-03-26 10:06,삼화전자공업,011230,관리종목지정해제,유가증권시장본부
80,2019-03-26 08:59,금호건설,002990,관리종목지정해제,유가증권시장본부
79,2019-03-26 08:33,아시아나항공,020560,관리종목지정해제,유가증권시장본부
78,2019-03-25 19:42,바이오빌,065940,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
77,2019-03-22 18:21,하이소닉,106080,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
76,2019-03-22 18:14,예선테크,250930,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
75,2019-03-22 13:07,아시아나항공,020560,관리종목지정,유가증권시장본부
74,2019-03-22 13:06,금호건설,002990,관리종목지정,유가증권시장본부
73,2019-03-21 22:43,케스피온,079190,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
72,2019-03-21 22:40,코다코,046070,관리종목지정(상장폐지사유 발생),코스닥시장본부
71,2019-03-21 22:40,현진소재,053660,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소),코스닥시장본부
70,2019-03-21 22:37,노블엠앤비,106520,관리종목지정사유추가(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부
69,2019-03-21 22:37,CNT85,056730,관리종목지정(상장폐지사유 발생),코스닥시장본부
68,2019-03-21 22:36,휴림네트웍스,192410,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
67,2019-03-21 22:36,지유온,111820,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
66,2019-03-21 22:35,코드네이처,078940,관리종목지정사유추가및일부해제(자본잠식률 50%이상 등),코스닥시장본부
65,2019-03-21 21:21,씨씨에스,066790,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
64,2019-03-21 21:14,에이트원,230980,관리종목지정(상장폐지사유 발생),코스닥시장본부
63,2019-03-21 21:01,유테크,178780,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
62,2019-03-21 20:43,에스마크,030270,관리종목지정사유추가(상장폐지 사유 발생 ),코스닥시장본부
61,2019-03-21 20:43,데코앤이,017680,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
60,2019-03-21 20:23,영신금속,007530,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
59,2019-03-21 19:54,티사이언티픽,057680,관리종목지정사유추가및일부해제(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부
58,2019-03-21 19:51,에스제이케이,080440,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
57,2019-03-21 19:45,디에스케이,109740,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소 )",코스닥시장본부
56,2019-03-21 19:30,지나인제약,078650,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소 등),코스닥시장본부
55,2019-03-21 18:55,아이엠텍,226350,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
54,2019-03-21 18:35,HJ중공업,097230,관리종목지정,유가증권시장본부
53,2019-03-21 18:26,폴루스바이오팜,007630,관리종목지정,유가증권시장본부
52,2019-03-21 16:37,티에스넥스젠,043220,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
51,2019-03-20 20:04,협진,138360,관리종목지정(상장폐지사유 발생),코스닥시장본부
50,2019-03-20 19:01,DXVX,180400,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
49,2019-03-20 18:44,커머스마이너,223310,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
48,2019-03-20 18:15,베노홀딩스,206400,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
47,2019-03-20 18:06,블레이드 Ent,044480,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소 ),코스닥시장본부
46,2019-03-19 20:12,알톤스포츠,123750,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
45,2019-03-19 20:12,엠벤처투자,019590,관리종목지정사유일부해제(자본잠식률 50% 이상 사유 해소 등),코스닥시장본부
44,2019-03-19 20:12,솔고바이오,043100,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부
43,2019-03-19 20:11,럭슬,033600,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부
42,2019-03-19 18:57,국순당,043650,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
41,2019-03-19 18:49,액션스퀘어,205500,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
40,2019-03-19 16:52,SGC에너지,005090,관리종목지정해제,유가증권시장본부
39,2019-03-18 20:17,스카이문스테크놀로지,033790,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
38,2019-03-18 20:14,세영디앤씨,052190,관리종목 해제(최근 3사업연도중 2사업연도 자기자본 50% 초과 법인세비용차감전계속사업손실 발생 사유 해소),코스닥시장본부
37,2019-03-18 20:04,초록뱀이앤엠,131100,관리종목지정사유일부해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
36,2019-03-18 20:00,라이트론,069540,관리종목지정(상장폐지사유 발생),코스닥시장본부
35,2019-03-18 19:41,케이에스피,073010,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
34,2019-03-18 19:40,유아이디,069330,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
33,2019-03-18 19:37,KD,044180,관리종목지정(상장폐지사유 발생),코스닥시장본부
32,2019-03-18 18:59,상상인인더스트리,101000,관리종목 해제,코스닥시장본부
31,2019-03-18 18:55,내츄럴엔도텍,168330,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
30,2019-03-18 18:54,케어젠,214370,관리종목지정(상장폐지사유 발생),코스닥시장본부
29,2019-03-18 18:48,수성샐바시온,084180,관리종목지정사유추가(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
